year;team;standing
2015;Arsenal;3
2016;Arsenal;2
2017;Arsenal;5
2018;Arsenal;6
2019;Arsenal;5
2020;Arsenal;8
2021;Arsenal;8
2022;Arsenal;5
2023;Arsenal;2
2015;Aston Villa;17
2016;Aston Villa;20
2017;Aston Villa;21
2018;Aston Villa;21
2019;Aston Villa;21
2020;Aston Villa;17
2021;Aston Villa;11
2022;Aston Villa;14
2023;Aston Villa;7
2015;Bournemouth;21
2016;Bournemouth;16
2017;Bournemouth;9
2018;Bournemouth;12
2018;Bournemouth;21
2019;Bournemouth;14
2020;Bournemouth;18
2021;Bournemouth;21
2022;Bournemouth;21
2023;Bournemouth;15
2015;Brighton;21
2016;Brighton;21
2017;Brighton;21
2018;Brighton;15
2019;Brighton;17
2020;Brighton;15
2021;Brighton;16
2022;Brighton;9
2023;Brighton;6
2015;Burnley;19
2016;Burnley;21
2017;Burnley;16
2018;Burnley;7
2019;Burnley;15
2020;Burnley;10
2021;Burnley;17
2022;Burnley;18
2023;Burnley;21
2017;Cardiff City;21
2018;Cardiff City;21
2019;Cardiff City;18
2020;Cardiff City;21
2015;Chelsea;1
2016;Chelsea;10
2017;Chelsea;1
2018;Chelsea;5
2019;Chelsea;3
2020;Chelsea;4
2021;Chelsea;4
2022;Chelsea;3
2023;Chelsea;12
2015;Crystal Palace;10
2016;Crystal Palace;15
2017;Crystal Palace;14
2018;Crystal Palace;11
2019;Crystal Palace;12
2020;Crystal Palace;14
2021;Crystal Palace;14
2022;Crystal Palace;12
2023;Crystal Palace;11
2015;Everton;11
2016;Everton;11
2017;Everton;7
2018;Everton;8
2019;Everton;8
2020;Everton;12
2021;Everton;10
2022;Everton;16
2023;Everton;17
2015;Fulham;21
2016;Fulham;21
2018;Fulham;21
2019;Fulham;19
2020;Fulham;21
2021;Fulham;18
2022;Fulham;21
2023;Fulham;10
2015;Huddersfield;21
2016;Huddersfield;21
2017;Huddersfield;21
2018;Huddersfield;16
2019;Huddersfield;20
2020;Huddersfield;21
2021;Huddersfield;21
2022;Huddersfield;21
2023;Huddersfield;21
2015;Hull City;18
2016;Hull City;21
2017;Hull City;18
2018;Hull City;21
2019;Hull City;21
2020;Hull City;21
2021;Hull City;21
2022;Hull City;21
2023;Hull City;21
2015;Leeds United;21
2016;Leeds United;21
2017;Leeds United;21
2018;Leeds United;21
2019;Leeds United;21
2020;Leeds United;21
2021;Leeds United;9
2022;Leeds United;17
2023;Leeds United;19
2015;Leicester City;14
2016;Leicester City;1
2017;Leicester City;12
2018;Leicester City;9
2018;Leicester City;21
2019;Leicester City;9
2020;Leicester City;5
2021;Leicester City;5
2022;Leicester City;8
2023;Leicester City;18
2015;Liverpool;6
2016;Liverpool;8
2017;Liverpool;4
2018;Liverpool;4
2019;Liverpool;2
2020;Liverpool;1
2021;Liverpool;3
2022;Liverpool;2
2023;Liverpool;5
2015;Man City;2
2016;Man City;4
2017;Man City;3
2018;Man City;1
2019;Man City;1
2020;Man City;2
2021;Man City;1
2022;Man City;1
2023;Man City;1
2015;Man United;4
2016;Man United;5
2017;Man United;6
